indicator,areacode,geo,time,prop_poverty
1.1.1,68,Bolivia (Plurinational State of),2000,28.6
1.1.1,68,Bolivia (Plurinational State of),2015,6.4
1.1.1,152,Chile,2000,4.4
1.1.1,152,Chile,2015,1.3
1.1.1,170,Colombia,2000,16.4
1.1.1,170,Colombia,2015,4.5
1.1.1,188,Costa Rica,2000,6.5
1.1.1,188,Costa Rica,2015,1.5
1.1.1,218,Ecuador,2000,28.2
1.1.1,218,Ecuador,2015,3.4
1.1.1,591,Panama,2000,12.4
1.1.1,591,Panama,2015,2
